,addr,busiCall,busiId,busiNm,chgerId,chgerType,lat,lng,note,parkingFree,powerType,stat,statId,statNm,statUpdDt,useTime,zcode
0,"서울특별시 종로구 종로 157, 지하주차장 4층 하층 T구역",1661-9408,ME,환경부,01,03,37.571076,126.995880,,Y,급속(50kW),9,ME000001,종묘 공영주차장,20210425082310,24시간 이용가능,11
1,"서울특별시 종로구 세종대로 189, 지하주차장 4층 D구역 계단실 앞",1661-9408,ME,환경부,01,06,37.573611,126.976011,,Y,급속(50kW),2,ME000002,세종로 공영주차장,20210424195524,24시간 이용가능,11
2,"서울특별시 중구 동호로 287, 대형버스주차장",1661-9408,ME,환경부,01,06,37.559352,127.002350,,N,급속(50kW),9,ME000003,그랜드앰배서더 서울,20210425083810,24시간 이용가능,11
3,"서울특별시 용산구 한남동 산10-84, 지상실외주차장",1661-9408,ME,환경부,01,03,37.540085,127.002804,,Y,급속(50kW),9,ME000004,한강진역 공영주차장,20210425105810,24시간 이용가능,11
4,"서울특별시 성동구 성수이로26길 61, 지상주차장 입구 좌측 경비실 옆",1661-9408,ME,환경부,01,03,37.544834,127.064226,20190626 공사로 인한 임시철거,N,급속(50kW),9,ME000005,기아차 성동서비스센터,20180727162950,24시간 이용가능,11
5,서울특별시 성동구 마장동 808,1661-9408,ME,환경부,01,06,37.5660935,127.0455256,,N,급속(50kW),2,ME000006,마장동사무소 앞(공중전화부스),20210425115843,24시간 이용가능,11
6,"서울특별시 동대문구 왕산로 214, 주차장 옥상",1661-9408,ME,환경부,01,03,37.580650,127.047938,,N,급속(50kW),3,ME000007,청량리롯데백화점,20210425123734,24시간 이용가능,11
7,"서울특별시 동대문구 이문로 136, 지하주차장 1층 D-04",1661-9408,ME,환경부,01,03,37.598454,127.061848,,N,급속(50kW),2,ME000008,이마트 이문점,20210421182436,10:00~24:00,11
8,"서울특별시 중랑구 사가정로 332, 지상주차장 4층 406구역",1661-9408,ME,환경부,01,03,37.580612,127.08154,,N,급속(50kW),9,ME000010,홈플러스 면목점,20191022085810,10:00~24:00,11
9,"서울특별시 성북구 화랑로 76, 지하주차장 3층 98구역",1661-9408,ME,환경부,01,03,37.60208293,127.04002398,,N,급속(50kW),2,ME000011,홈플러스 월곡점,20210425014707,10:00~24:00,11
10,서울특별시 성북구 장위2동 65-154,1661-9408,ME,환경부,01,06,37.60936,127.053263,,N,급속(50kW),2,ME000012,성북벤처빌딩 공영주차장,20210425094947,,11
