,addr,busiNm,powerType,stat,statNm
0,"서울특별시 종로구 종로 157, 지하주차장 4층 하층 T구역",환경부,급속(50kW),9,종묘 공영주차장
1,"서울특별시 종로구 세종대로 189, 지하주차장 4층 D구역 계단실 앞",환경부,급속(50kW),2,세종로 공영주차장
2,"서울특별시 중구 동호로 287, 대형버스주차장",환경부,급속(50kW),9,그랜드앰배서더 서울
3,"서울특별시 용산구 한남동 산10-84, 지상실외주차장",환경부,급속(50kW),9,한강진역 공영주차장
4,"서울특별시 성동구 성수이로26길 61, 지상주차장 입구 좌측 경비실 옆",환경부,급속(50kW),9,기아차 성동서비스센터
5,서울특별시 성동구 마장동 808,환경부,급속(50kW),2,마장동사무소 앞(공중전화부스)
6,"서울특별시 동대문구 왕산로 214, 주차장 옥상",환경부,급속(50kW),9,청량리롯데백화점
7,"서울특별시 동대문구 이문로 136, 지하주차장 1층 D-04",환경부,급속(50kW),2,이마트 이문점
8,"서울특별시 중랑구 사가정로 332, 지상주차장 4층 406구역",환경부,급속(50kW),9,홈플러스 면목점
9,"서울특별시 성북구 화랑로 76, 지하주차장 3층 98구역",환경부,급속(50kW),2,홈플러스 월곡점
10,서울특별시 성북구 장위2동 65-154,환경부,급속(50kW),2,성북벤처빌딩 공영주차장
11,"서울특별시 강북구 삼양로 247삼양시장, 지상주차장 3층 324구역",환경부,급속(50kW),9,롯데마트 삼양점
12,"서울특별시 도봉구 마들로 645, 지상주차장 4층 406구역",환경부,급속(50kW),9,빅마켓 도봉점
13,"서울특별시 은평구 은평로 111, 지하주차장 4층 A구역",환경부,급속(50kW),9,이마트 은평점
14,"서울특별시 은평구 진관동 66-30, 지하주차장 1층 20구역",환경부,급속(50kW),2,구파발역 환승주차장
15,"서울특별시 마포구 월드컵로 240, 지상주차장 1층",환경부,급속(50kW),9,홈플러스 월드컵점
16,"서울특별시 마포구 마포대로1길 19, 지상주차장",환경부,급속(50kW),9,시설관리공단 마포유수지주차장
17,"서울특별시 마포구 상암동 482-116, 주차장 입구 정면",환경부,급속(50kW),9,노을공원
18,"서울특별시 양천구 목동서로 170, 지상주차장 2층 01구역",환경부,급속(50kW),2,홈플러스 목동점
19,서울특별시 양천구 지양로 47,환경부,급속(50kW),2,해맞이공영주차장
20,"서울특별시 강서구 양천로 431, 지하주차장 1층",환경부,급속(50kW),2,홈플러스 가양점
21,"서울특별시 강서구 하늘길 77, 지하주차장 1층 A-18구역",환경부,급속(50kW),9,롯데마트 김포공항점
22,"서울특별시 강서구 방화대로 94, 호텔 정면 주차장",환경부,급속(50kW),2,메이필드호텔
23,"서울특별시 구로구 경인로 482, 지상주차장 5층",환경부,급속(50kW),9,롯데마트 구로점
24,"서울특별시 구로구 오류동 174-10, 천왕역 환승주차장 1층",환경부,급속(50kW),9,천왕역 환승주차장
25,서울특별시 구로구 구로동 136-14,환경부,급속(50kW),2,구로리공원 앞(공중전화부스)
26,"서울특별시 금천구 시흥대로 201, 지상주차장 4층 28구역",환경부,급속(50kW),9,홈플러스 시흥점
27,"서울특별시 금천구 범안로12가길 65, 독산1동 공영주차장 옥상",환경부,급속(50kW),2,독산1동 공영주차장
28,서울특별시 금천구 가산동 239-27,환경부,급속(50kW),9,제일모직아울렛 건너편(공중전화부스)
29,서울특별시 영등포구 신길1동 116-15,환경부,급속(50kW),9,영등포구 대신시장(공중전화부스)
30,"서울특별시 동작구 노량진로 53, 현대자동차 남부서비스센터 본관 후문 주차장",환경부,급속(50kW),2,현대차 남부서비스센터
31,"서울특별시 동작구 현충로 213, 출입구 왼쪽",환경부,급속(50kW),2,동작주차공원 공영주차장
32,서울특별시 관악구 신림동 571-6,환경부,급속(50kW),3,조원동 제1공영주차장
33,"서울특별시 서초구 과천대로 950-18, 지상주차장 북주차장(우측)",환경부,급속(50kW),2,사당역 공영주차장
34,"서울특별시 서초구 매헌로 16, 지하주차장 2층 Z구역",환경부,급속(50kW),9,이마트 양재점
35,"서울특별시 강남구 수서동 735, 지상주차장 북주차장(우측)",환경부,급속(50kW),2,수서역 공영주차장
36,"서울특별시 강남구 남부순환로 3104, 지하주차장 3층 M418구역",환경부,급속(50kW),9,학여울역 공영주차장
37,"서울특별시 강남구 삼성로 563, GS칼텍스 주유소 입구 우측",환경부,급속(50kW),9,GS칼텍스 삼성로점
